pedido_id,dia,hub_origen,destino,ruta,asignados,pendientes,fitness
0000116,23,SPIM,SEQM,"[com.morapack.ga.Vuelo@5aaa6d82]",182,0,1.3636
0000118,23,SPIM,SLLP,"[com.morapack.ga.Vuelo@7637f22]",183,0,1.7320
0000120,23,SPIM,SABE,"[com.morapack.ga.Vuelo@73a28541]",184,0,3.1272
0000122,24,SPIM,SUAA,"[com.morapack.ga.Vuelo@6f75e721]",185,0,4.5531
0000124,24,EBCI,EDDI,"[com.morapack.ga.Vuelo@4361bd48]",126,60,1.3455
0000124,24,EBCI,EDDI,"[com.morapack.ga.Vuelo@69222c14]",60,0,1.3455
0000121,24,SPIM,SGAS,"[com.morapack.ga.Vuelo@606d8acf]",184,0,3.2041
0000123,24,EBCI,LATI,"[com.morapack.ga.Vuelo@182decdb]",147,38,2.2465
0000123,24,EBCI,LATI,"[com.morapack.ga.Vuelo@782830e]",38,0,2.2465
0000125,24,EBCI,LOWW,"[com.morapack.ga.Vuelo@470e2030]",186,0,1.7809
0000127,25,EBCI,LDZA,"[com.morapack.ga.Vuelo@3fb4f649]",187,0,1.3771
0000129,25,EBCI,EHAM,"[com.morapack.ga.Vuelo@4926097b]",188,0,1.0599
0000126,25,EBCI,LKPR,"[com.morapack.ga.Vuelo@33833882]",187,0,1.1146
0000128,25,EBCI,EKCH,"[com.morapack.ga.Vuelo@2401f4c3]",188,0,1.4763
0000130,25,UBBB,VIDP,"[com.morapack.ga.Vuelo@1edf1c96]",167,22,4.0578
0000130,25,UBBB,VIDP,"[com.morapack.ga.Vuelo@1c4af82c]",22,0,2.3216
0000132,26,UBBB,OERK,"[com.morapack.ga.Vuelo@200a570f]",190,0,2.4983
0000134,26,UBBB,OYSN,"[com.morapack.ga.Vuelo@16b3fc9e]",191,0,3.9233
0000131,26,UBBB,OSDI,"[com.morapack.ga.Vuelo@1c4af82c]",189,0,2.3216
0000133,26,UBBB,OOMS,"[com.morapack.ga.Vuelo@1b701da1]",58,132,3.0982
0000133,26,UBBB,OOMS,"[com.morapack.ga.Vuelo@e2d56bf]",132,0,3.2749
0000135,26,UBBB,OMDB,"[com.morapack.ga.Vuelo@244038d0]",191,0,1.0328
0000137,27,EBCI,UMMS,"[com.morapack.ga.Vuelo@5680a178]",192,0,2.0372
0000139,27,SPIM,SKBO,"[com.morapack.ga.Vuelo@123772c4]",159,34,2.7592
0000139,27,SPIM,SKBO,"[com.morapack.ga.Vuelo@5fdef03a]",34,0,2.7592
0000136,27,UBBB,OJAI,"[com.morapack.ga.Vuelo@6996db8]",7,185,1.0564
0000136,27,UBBB,OJAI,"[com.morapack.ga.Vuelo@1c4af82c]",54,131,2.3216
0000136,27,UBBB,OJAI,"[com.morapack.ga.Vuelo@3b22cdd0]",131,0,2.5714
0000138,27,SPIM,SVMI,"[com.morapack.ga.Vuelo@1e81f4dc]",193,0,1.9131
0000140,27,SPIM,SEQM,"[com.morapack.ga.Vuelo@4d591d15]",194,0,2.2306
0000142,28,SPIM,SLLP,"[com.morapack.ga.Vuelo@65ae6ba4]",195,0,1.7809
0000144,28,SPIM,SABE,"[com.morapack.ga.Vuelo@48cf768c, com.morapack.ga.Vuelo@59f95c5d]",196,0,3.9073
0000141,28,SPIM,SBBR,"[com.morapack.ga.Vuelo@5ccd43c2]",194,0,4.2244
0000143,28,SPIM,SCEL,"[com.morapack.ga.Vuelo@7d6f77cc]",195,0,3.7129
0000145,28,SPIM,SGAS,"[com.morapack.ga.Vuelo@76ccd017]",196,0,3.6129
0000147,29,EBCI,LATI,"[com.morapack.ga.Vuelo@782830e]",197,0,2.2465
0000149,29,EBCI,LOWW,"[com.morapack.ga.Vuelo@470e2030]",134,64,1.7809
0000149,29,EBCI,LOWW,"[com.morapack.ga.Vuelo@4aa8f0b4]",64,0,1.6556
0000146,29,SPIM,SUAA,"[com.morapack.ga.Vuelo@61e717c2]",197,0,2.0688
0000148,29,EBCI,EDDI,"[com.morapack.ga.Vuelo@5eb5c224]",157,41,1.2758
0000148,29,EBCI,EDDI,"[com.morapack.ga.Vuelo@69222c14]",41,0,1.3455
0000150,29,EBCI,LKPR,"[com.morapack.ga.Vuelo@7960847b]",199,0,1.2963
0000152,30,EBCI,EKCH,"[com.morapack.ga.Vuelo@6a6824be]",200,0,1.2041
0000154,30,UBBB,VIDP,"[com.morapack.ga.Vuelo@5c8da962]",201,0,3.0838
0000151,30,EBCI,LDZA,"[com.morapack.ga.Vuelo@726f3b58]",26,173,1.7103
0000151,30,EBCI,LDZA,"[com.morapack.ga.Vuelo@512ddf17]",173,0,1.8091
