gen,best,avg,worst,feasible,mutationRate,diversityIndex,p95Transit,p95Wait,p95Cost,maxHopsRef
37,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
38,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
39,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
40,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
41,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
42,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
43,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
44,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
45,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.14175,0.0,1315.75,1368.0,1035.2375000000002,8
46,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.15,0.0,1315.75,1368.0,1035.2375000000002,8
47,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.15,0.0,1315.75,1368.0,1035.2375000000002,8
48,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.15,0.0,1315.75,1368.0,1035.2375000000002,8
49,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.15,0.0,1315.75,1368.0,1035.2375000000002,8
50,2.450082411723903,2.4500824117238986,2.450082411723903,1.0,0.15,0.0,1315.75,1368.0,1035.2375000000002,8
1,2.230608772365895,20.878169630493066,83.52039956511518,1.0,0.06,0.4360062893081626,1315.75,1368.0,1035.2375000000002,8
2,2.230608772365895,8.150232103666074,50.50256982148515,1.0,0.06,0.33847484276730117,1315.75,1368.0,1035.2375000000002,8
